id,population,total_doses,pop_adjusted
Los Angeles,10039107,2670855,26604.51
San Diego,3338330,1160192,34753.66
Orange,3175692,894284,28160.29
Riverside,2470546,554904,22460.78
Alameda,1671329,516978,30932.15
Santa Clara,1927852,515834,26756.93
San Bernardino,2180085,428564,19658.13
Contra Costa,1153526,384456,33328.77
Sacramento,1552058,355570,22909.58
San Francisco,881549,302210,34281.7
San Mateo,766573,269956,35215.95
Ventura,846006,244040,28846.13
Fresno,999101,221654,22185.34
Sonoma,494336,172165,34827.53
Kern,900202,167298,18584.5
San Joaquin,762148,154678,20295.01
Placer,398329,131667,33054.84
Stanislaus,550660,126857,23037.26
Santa Barbara,446499,113944,25519.43
Solano,447643,105391,23543.54
Marin,258826,104490,40370.75
Santa Cruz,273213,99682,36485.09
Monterey,434061,91743,21135.97
Tulare,466195,91537,19634.92
San Luis Obispo,283111,87028,30739.89
Butte,219186,65761,30002.37
Yolo,220500,65554,29729.71
Napa,137744,54892,39850.74
El Dorado,192843,52553,27251.7
Merced,277680,50502,18187.12
Humboldt,135558,37506,27667.86
Shasta,180080,36734,20398.71
Mendocino,86749,34802,40118.04
Imperial,181215,32581,17979.2
Madera,157327,32550,20689.39
Nevada,99755,29283,29354.92
Sutter,96971,23914,24660.98
Tuolumne,54478,19598,35974.15
Kings,152940,19247,12584.67
Lake,64386,16147,25078.43
Calaveras,45905,13412,29216.86
Siskiyou,43539,12744,29270.31
Amador,39752,11929,30008.55
Yuba,78668,11902,15129.4
San Benito,62808,11829,18833.59
Tehama,65084,11510,17684.84
Mono,14444,8015,55490.17
Glenn,28393,6775,23861.52
Inyo,18039,6448,35744.78
Del Norte,27812,5225,18786.85
Plumas,18807,4935,26240.23
Lassen,30573,4878,15955.25
Colusa,21547,4156,19288.07
Mariposa,17203,3270,19008.31
Modoc,8841,3037,34351.32
Trinity,12285,2521,20520.96
Sierra,3005,1494,49717.14
Alpine,1129,643,56953.06
